"curve_id","n_det","tau","point_id","fidelity","eta_opt"
1,2,1.,53,0.6587205193049942,0.53
1,2,1.,54,0.6612366650801479,0.54
1,2,1.,55,0.6635572412443228,0.55
1,2,1.,56,0.6656859587474213,0.56
1,2,1.,57,0.6676268436218767,0.5700000000000001
1,2,1.,58,0.6693842328921771,0.5800000000000001
1,2,1.,59,0.6709627700299206,0.59
1,2,1.,60,0.6723673999489687,0.6
1,2,1.,61,0.6736033635344,0.61
1,2,1.,62,0.6746761916975218,0.62
1,2,1.,63,0.6755916989469771,0.63
1,2,1.,64,0.6763559764628703,0.64
1,2,1.,65,0.6769753846565646,0.65
1,2,1.,66,0.6774565451931338,0.66
1,2,1.,67,0.6778063324460445,0.67
1,2,1.,68,0.6780318643441042,0.68
1,2,1.,69,0.678140492558508,0.6900000000000001
1,2,1.,70,0.6781397919623998,0.7000000000000001
1,2,1.,71,0.6780375492758729,0.7100000000000001
1,2,1.,72,0.6778417507849165,0.72
1,2,1.,73,0.6775605689922267,0.73
1,2,1.,74,0.6772023480196049,0.74
1,2,1.,75,0.6767755875340473,0.75
1,2,1.,76,0.6762889249103032,0.76
1,2,1.,77,0.6757511152688205,0.77
1,2,1.,78,0.6751710089361019,0.78
1,2,1.,79,0.6745575257601457,0.79
1,2,1.,80,0.6739196255713682,0.8
1,2,1.,81,0.6732662739024124,0.81
1,2,1.,82,0.6726064018600294,0.8200000000000001
1,2,1.,83,0.671948858768289,0.8300000000000001
1,2,1.,84,0.6713023558617212,0.8400000000000001
1,2,1.,85,0.6706753988835683,0.85
1,2,1.,86,0.6700762069185296,0.86
1,2,1.,87,0.6695126141371956,0.87
1,2,1.,88,0.6689919503219622,0.88
1,2,1.,89,0.6685208950470525,0.89
1,2,1.,90,0.6681052991578359,0.9
1,2,1.,91,0.6677499656904509,0.91
1,2,1.,92,0.6674583805400762,0.92
1,2,1.,93,0.6672323809705714,0.93
1,2,1.,94,0.6670717474070237,0.9400000000000001
1,2,1.,95,0.6669737008242279,0.9500000000000001
1,2,1.,96,0.6669322844226063,0.9600000000000001
1,2,1.,97,0.6669376042042641,0.97
1,2,1.,98,0.6669748986532064,0.98
1,2,1.,99,0.667023403267326,0.99
2,2,0.95,1,0.2753136649147302,0.01
2,2,0.95,2,0.2848632457337841,0.02
2,2,0.95,3,0.29444110245754085,0.03
2,2,0.95,4,0.30403746345877924,0.04
2,2,0.95,5,0.3136426661125761,0.05
2,2,0.95,6,0.32324716774700035,0.060000000000000005
2,2,0.95,7,0.3328415558457217,0.06999999999999999
2,2,0.95,8,0.34241655759233625,0.08
2,2,0.95,9,0.3519630488387768,0.09
2,2,0.95,10,0.3614720625726615,0.09999999999999999
2,2,0.95,11,0.3709347969509922,0.11
2,2,0.95,12,0.3803426229603411,0.12
2,2,0.95,13,0.38968709175663263,0.13
2,2,0.95,14,0.3989599417308943,0.14
2,2,0.95,15,0.4081531053409928,0.15000000000000002
2,2,0.95,16,0.4172587157433549,0.16
2,2,0.95,17,0.4262691132530909,0.17
2,2,0.95,18,0.435176851655739,0.18000000000000002
2,2,0.95,19,0.44397470438906317,0.19
2,2,0.95,20,0.45265567060896317,0.2
2,2,0.95,21,0.4612129811495522,0.21000000000000002
2,2,0.95,22,0.46964010438385645,0.22
2,2,0.95,23,0.47793075198833473,0.23
2,2,0.95,24,0.4860788846115109,0.24000000000000002
2,2,0.95,25,0.4940787174444335,0.25
2,2,0.95,26,0.5019247256883992,0.26
2,2,0.95,27,0.5096116499133859,0.27
2,2,0.95,28,0.5171345012989247,0.28
2,2,0.95,29,0.5244885667476565,0.29000000000000004
2,2,0.95,30,0.5316694138605791,0.3
2,2,0.95,31,0.5386728957619499,0.31
2,2,0.95,32,0.5454951557609837,0.32
2,2,0.95,33,0.5521326318368116,0.33
2,2,0.95,34,0.5585820609326858,0.34
2,2,0.95,35,0.5648404830450721,0.35000000000000003
2,2,0.95,36,0.5709052450930711,0.36000000000000004
2,2,0.95,37,0.5767740045535413,0.37
2,2,0.95,38,0.5824447328473414,0.38
2,2,0.95,39,0.5879157184622563,0.39
2,2,0.95,40,0.5931855697984436,0.4
2,2,0.95,41,0.5982532177225461,0.41000000000000003
2,2,0.95,42,0.6031179178170694,0.42000000000000004
2,2,0.95,43,0.607779252312092,0.43
2,2,0.95,44,0.6122371316869485,0.44
2,2,0.95,45,0.616491795930121,0.45
2,2,0.95,46,0.6205438154462573,0.46
2,2,0.95,47,0.624394091599893,0.47000000000000003
2,2,0.95,48,0.6280438568862196,0.48000000000000004
2,2,0.95,49,0.6314946747199341,0.49
2,2,0.95,50,0.6347484388339857,0.5
2,2,0.95,51,0.6378073722807222,0.51
2,2,0.95,52,0.6406740260286787,0.52
2,2,0.95,53,0.6433512771488589,0.53
2,2,0.95,54,0.6458423265849571,0.54
2,2,0.95,55,0.6481506965024336,0.55
2,2,0.95,56,0.6502802272116767,0.56
2,2,0.95,57,0.6522350736606504,0.5700000000000001
2,2,0.95,58,0.6540197014923383,0.5800000000000001
2,2,0.95,59,0.6556388826619205,0.59
2,2,0.95,60,0.6570976906078962,0.6
2,2,0.95,61,0.6584014949701544,0.61
2,2,0.95,62,0.6595559558462526,0.62
2,2,0.95,63,0.6605670175747128,0.63
2,2,0.95,64,0.6614409020308087,0.64
2,2,0.95,65,0.6621841014159852,0.65
2,2,0.95,66,0.6628033705163626,0.66
2,2,0.95,67,0.6633057183985386,0.67
2,2,0.95,68,0.6636983995016836,0.68
2,2,0.95,69,0.6639889040733454,0.6900000000000001
2,2,0.95,70,0.6641849478818135,0.7000000000000001
2,2,0.95,71,0.6642944611197643,0.7100000000000001
2,2,0.95,72,0.6643255763913005,0.72
2,2,0.95,73,0.6642866156464639,0.73
2,2,0.95,74,0.6641860758925174,0.74
2,2,0.95,75,0.6640326134682462,0.75
2,2,0.95,76,0.6638350266142755,0.76
2,2,0.95,77,0.6636022360065477,0.77
2,2,0.95,78,0.6633432628387098,0.78
2,2,0.95,79,0.6630672039386063,0.79
2,2,0.95,80,0.6627832032798123,0.8
2,2,0.95,81,0.6625004190956872,0.81
2,2,0.95,82,0.6622279856139195,0.8200000000000001
2,2,0.95,83,0.6619749681956738,0.8300000000000001
2,2,0.95,84,0.661750310374946,0.8400000000000001
2,2,0.95,85,0.6615627709382921,0.85
2,2,0.95,86,0.6614208487476144,0.86
2,2,0.95,87,0.6613326924713002,0.87
2,2,0.95,88,0.6613059917303687,0.88
2,2,0.95,89,0.6613478453614902,0.89
2,2,0.95,90,0.6614646015192861,0.9
2,2,0.95,91,0.661661663154238,0.91
2,2,0.95,92,0.6619432509757396,0.92
2,2,0.95,93,0.6623121143079218,0.93
2,2,0.95,94,0.6627691782384587,0.9400000000000001
2,2,0.95,95,0.6633131131278422,0.9500000000000001
2,2,0.95,96,0.6639398098907119,0.9600000000000001
2,2,0.95,97,0.6646417415234326,0.97
2,2,0.95,98,0.6654071882416769,0.98
2,2,0.95,99,0.666219300524186,0.99
3,2,0.7,1,0.2749713485424143,0.01
3,2,0.7,2,0.28414244363868185,0.02
3,2,0.7,3,0.29330557847728,0.03
3,2,0.7,4,0.30245099087498684,0.04
3,2,0.7,5,0.31156910094143764,0.05
3,2,0.7,6,0.3206505198759629,0.060000000000000005
3,2,0.7,7,0.3296860587185247,0.06999999999999999
3,2,0.7,8,0.33866673703802785,0.08
3,2,0.7,9,0.34758379153811797,0.09
3,2,0.7,10,0.3564286845584822,0.09999999999999999
3,2,0.7,11,0.3651931124484253,0.11
3,2,0.7,12,0.37386901378895726,0.12
3,2,0.7,13,0.3824485774396295,0.13
3,2,0.7,14,0.39092425038681095,0.14
3,2,0.7,15,0.39928874537087183,0.15000000000000002
3,2,0.7,16,0.40753504827079307,0.16
3,2,0.7,17,0.41565642522594587,0.17
3,2,0.7,18,0.4236464294761658,0.18000000000000002
3,2,0.7,19,0.43149890790271694,0.19
3,2,0.7,20,0.43920800725426423,0.2
3,2,0.7,21,0.4467681800435499,0.21000000000000002
3,2,0.7,22,0.45417419010204163,0.22
3,2,0.7,23,0.4614211177813923,0.23
3,2,0.7,24,0.46850436479212143,0.24000000000000002
3,2,0.7,25,0.47541965867144687,0.25
3,2,0.7,26,0.4821630568737089,0.26
3,2,0.7,27,0.488730950478285,0.27
3,2,0.7,28,0.4951200675113217,0.28
3,2,0.7,29,0.5013274758789912,0.29000000000000004
3,2,0.7,30,0.5073505859113203,0.3
3,2,0.7,31,0.5131871525169408,0.31
3,2,0.7,32,0.5188352769503576,0.32
3,2,0.7,33,0.5242934081945536,0.33
3,2,0.7,34,0.5295603439629238,0.34
3,2,0.7,35,0.5346352313256544,0.35000000000000003
3,2,0.7,36,0.539517566966777,0.36000000000000004
3,2,0.7,37,0.5442071970791683,0.37
3,2,0.7,38,0.5487043169057895,0.38
3,2,0.7,39,0.5530094699364557,0.39
3,2,0.7,40,0.5571235467703503,0.4
3,2,0.7,41,0.5610477836554163,0.41000000000000003
3,2,0.7,42,0.5647837607166236,0.42000000000000004
3,2,0.7,43,0.5683333998859343,0.43
3,2,0.7,44,0.5716989625475638,0.44
3,2,0.7,45,0.5748830469128711,0.45
3,2,0.7,46,0.5778885851398958,0.46
3,2,0.7,47,0.5807188402131647,0.47000000000000003
3,2,0.7,48,0.5833774025999656,0.48000000000000004
3,2,0.7,49,0.5858681866997527,0.49
3,2,0.7,50,0.5881954271037484,0.5
3,2,0.7,51,0.5903636746821093,0.51
3,2,0.7,52,0.5923777925162075,0.52
3,2,0.7,53,0.5942429516936425,0.53
3,2,0.7,54,0.5959646269834971,0.54
3,2,0.7,55,0.5975485924090885,0.55
3,2,0.7,56,0.5990009167349949,0.56
3,2,0.7,57,0.6003279588844004,0.5700000000000001
3,2,0.7,58,0.6015363633018338,0.5800000000000001
3,2,0.7,59,0.6026330552750089,0.59
3,2,0.7,60,0.603625236227763,0.6
3,2,0.7,61,0.6045203789939064,0.61
3,2,0.7,62,0.6053262230790302,0.62
3,2,0.7,63,0.6060507699139681,0.63
3,2,0.7,64,0.6067022780994358,0.64
3,2,0.7,65,0.6072892586363179,0.65
3,2,0.7,66,0.6078204701299654,0.66
3,2,0.7,67,0.6083049139494401,0.67
3,2,0.7,68,0.6087518293137609,0.68
3,2,0.7,69,0.6091706882664975,0.6900000000000001
3,2,0.7,70,0.6095711904872272,0.7000000000000001
3,2,0.7,71,0.6099632578730253,0.7100000000000001
3,2,0.7,72,0.6103570288047966,0.72
3,2,0.7,73,0.6107628519913262,0.73
3,2,0.7,74,0.6111912797577583,0.74
3,2,0.7,75,0.6116530606140155,0.75
3,2,0.7,76,0.6121591309015308,0.76
3,2,0.7,77,0.6127206052724405,0.77
3,2,0.7,78,0.613348765702908,0.78
3,2,0.7,79,0.6140550486799393,0.79
3,2,0.7,80,0.6148510301273312,0.8
3,2,0.7,81,0.6157484075492591,0.81
3,2,0.7,82,0.6167589787674137,0.8200000000000001
3,2,0.7,83,0.6178946165070414,0.8300000000000001
3,2,0.7,84,0.6191672379462504,0.8400000000000001
3,2,0.7,85,0.620588768178699,0.85
3,2,0.7,86,0.6221710963494476,0.86
3,2,0.7,87,0.6239260230045947,0.87
3,2,0.7,88,0.625865196944729,0.88
3,2,0.7,89,0.6280000395881412,0.89
3,2,0.7,90,0.6303416545309908,0.9
3,2,0.7,91,0.6329007196382177,0.91
3,2,0.7,92,0.6356873586129617,0.92
3,2,0.7,93,0.6387109885781329,0.93
3,2,0.7,94,0.6419801397695158,0.9400000000000001
3,2,0.7,95,0.6455022429976467,0.9500000000000001
3,2,0.7,96,0.6492833801029732,0.9600000000000001
3,2,0.7,97,0.653327992228522,0.97
3,2,0.7,98,0.6576385403953158,0.98
3,2,0.7,99,0.6622151126219119,0.99
