"curve_id","n_det","tau","point_id","fidelity","max_success_probability"
3,2,0.7,64,0.3411107532142792,0.0756693234743854
3,2,0.7,65,0.3462499562459399,0.07555448003823495
3,2,0.7,66,0.3513891592776006,0.07544573621345534
3,2,0.7,67,0.3565283623092614,0.075325366292351
3,2,0.7,68,0.3616675653409221,0.07520271252562187
3,2,0.7,69,0.36680676837258286,0.07507813768090832
3,2,0.7,70,0.37194597140424357,0.07495197577614174
3,2,0.7,71,0.37708517443590434,0.07482453397681404
3,2,0.7,72,0.38222437746756505,0.07469609438580076
3,2,0.7,73,0.38736358049922576,0.0745569552316626
3,2,0.7,74,0.3925027835308865,0.07442724505460845
3,2,0.7,75,0.39764198656254723,0.07428726141966246
3,2,0.7,76,0.402781189594208,0.0741472092702683
3,2,0.7,77,0.4079203926258687,0.07399732811877933
3,2,0.7,78,0.4130595956575294,0.07385781294089512
3,2,0.7,79,0.4181987986891902,0.07370894029599726
3,2,0.7,80,0.4233380017208509,0.07355105132590659
3,2,0.7,81,0.42847720475251166,0.07340406542514566
3,2,0.7,82,0.4336164077841724,0.07324856045261806
3,2,0.7,83,0.43875561081583314,0.07309453575960131
3,2,0.7,84,0.44389481384749385,0.07293266430524124
3,2,0.7,85,0.44903401687915456,0.07277276922040792
3,2,0.7,86,0.45417321991081533,0.0726057600317574
3,2,0.7,87,0.45931242294247604,0.07244122825816957
3,2,0.7,88,0.4644516259741368,0.0722614431612618
3,2,0.7,89,0.4695908290057975,0.07209369690481975
3,2,0.7,90,0.4747300320374583,0.07191184012943155
3,2,0.7,91,0.479869235069119,0.0717253951445699
3,2,0.7,92,0.4850084381007797,0.07154317320885903
3,2,0.7,93,0.49014764113244047,0.0713412718443731
3,2,0.7,94,0.4952868441641012,0.0711448880553871
3,2,0.7,95,0.500426047195762,0.0709314804508696
3,2,0.7,96,0.5055652502274227,0.07071045578116374
3,2,0.7,97,0.5107044532590834,0.07046939786674154
3,2,0.7,98,0.5158436562907441,0.07020504387057559
3,2,0.7,99,0.520982859322405,0.06990957334232535
3,2,0.7,100,0.5261220623540657,0.06954420864227545
3,2,0.7,101,0.5312612653857264,0.0687623481009243
4,4,1.,1,0.005317090437807882,0.13348199201550043
4,4,1.,2,0.012493860070807574,0.13348199201550043
4,4,1.,3,0.019670629703807264,0.13348199201550043
4,4,1.,4,0.02684739933680696,0.13348199201550043
4,4,1.,5,0.03402416896980665,0.13348199201550043
4,4,1.,6,0.041200938602806346,0.13348199201550043
4,4,1.,7,0.04837770823580603,0.13348199201550043
4,4,1.,8,0.05555447786880573,0.13348199201550043
4,4,1.,9,0.06273124750180542,0.13348199201550043
4,4,1.,10,0.06990801713480511,0.13348199201550043
4,4,1.,11,0.07708478676780481,0.13348199201550043
4,4,1.,12,0.0842615564008045,0.13348199201550043
4,4,1.,13,0.09143832603380418,0.13348199201550043
4,4,1.,14,0.09861509566680388,0.13348199201550043
4,4,1.,15,0.10579186529980357,0.13348199201550043
4,4,1.,16,0.11296863493280326,0.13348199201550043
4,4,1.,17,0.12014540456580296,0.13348199201550043
4,4,1.,18,0.12732217419880265,0.13348199201550043
4,4,1.,19,0.13449894383180233,0.13348199201550043
4,4,1.,20,0.141675713464802,0.13348199201550043
4,4,1.,21,0.14885248309780172,0.13348199201550043
4,4,1.,22,0.1560292527308014,0.13348199201550043
4,4,1.,23,0.1632060223638011,0.13348199201550043
4,4,1.,24,0.1703827919968008,0.13348199201550043
4,4,1.,25,0.17755956162980047,0.13348199201550043
4,4,1.,26,0.18473633126280017,0.13348199201550043
4,4,1.,27,0.19191310089579985,0.13348199201550043
4,4,1.,28,0.19908987052879956,0.13348199201550043
4,4,1.,29,0.20626664016179924,0.13348199201550043
4,4,1.,30,0.21344340979479895,0.13348199201550043
4,4,1.,31,0.22062017942779863,0.13348199201550043
4,4,1.,32,0.22779694906079834,0.13348199201550043
4,4,1.,33,0.23497371869379802,0.13348199201550043
4,4,1.,34,0.2421504883267977,0.13348199201550043
4,4,1.,35,0.2493272579597974,0.13348199201550043
4,4,1.,36,0.2565040275927971,0.13348199201550043
4,4,1.,37,0.2636807972257968,0.13348199201550043
4,4,1.,38,0.2708575668587965,0.13348199201550043
4,4,1.,39,0.27803433649179615,0.13348199201550043
